"Activity Date","Process Date","Settle Date","Instrument","Description","Trans Code","Quantity","Price","Amount"
"3/6/2026","3/6/2026","3/6/2026","TSLY","Cash Div: R/D 2026-03-05 P/D 2026-03-06 - 40.000882 shares at 0.296","CDIV","","","$11.84"
"3/6/2026","3/6/2026","3/6/2026","VG","Stock Lending","SLIP","","","$0.01"
"3/6/2026","3/6/2026","3/6/2026","RZLV","Stock Lending","SLIP","","","$0.01"
"3/6/2026","3/6/2026","3/6/2026","ASST","Stock Lending","SLIP","","","$0.01"
"3/6/2026","3/6/2026","3/6/2026","ASST","Stock Lending","SLIP","","","$0.01"
"3/6/2026","3/6/2026","3/6/2026","TSLZ","Stock Lending","SLIP","","","$0.20"
"3/6/2026","3/6/2026","3/6/2026","RDW","Stock Lending","SLIP","","","$0.01"
"3/6/2026","3/6/2026","3/9/2026","HOOD","HOOD 3/6/2026 Call $78.00","BTC","1","$0.83","($83.04)"
"3/5/2026","3/5/2026","3/6/2026","TTD","TTD 3/6/2026 Call $32.50","BTC","1","$0.13","($13.04)"
"3/5/2026","3/5/2026","3/6/2026","PLAB","Photronics
CUSIP: 719405102","Buy","2","$34.80","($69.60)"
"3/5/2026","3/5/2026","3/6/2026","PLAB","Photronics
CUSIP: 719405102","Buy","2","$36.86","($73.71)"
"3/5/2026","3/5/2026","3/6/2026","TTD","TTD 3/6/2026 Call $32.50","STO","1","$0.76","$75.95"
"3/3/2026","3/3/2026","3/4/2026","HOOD","HOOD 3/6/2026 Call $78.00","STO","1","$0.68","$67.95"
"3/3/2026","3/3/2026","3/4/2026","SOFI","SOFI 4/10/2026 Call $21.00","STO","1","$0.52","$51.95"
"3/2/2026","3/2/2026","3/3/2026","SOFI","SoFi Technologies
CUSIP: 83406F102","Buy","100","$18.87","($1,887.00)"
"3/2/2026","3/2/2026","3/3/2026","VG","VG 3/13/2026 Call $13.00","STO","1","$0.30","$29.95"
"3/2/2026","3/2/2026","3/3/2026","VG","Venture Global
CUSIP: 92333F101","Buy","200","$11.82","($2,364.20)"
"2/27/2026","2/27/2026","2/27/2026","TSLY","Cash Div: R/D 2026-02-26 P/D 2026-02-27 - 40.000882 shares at 0.3145","CDIV","","","$12.58"
"2/27/2026","2/27/2026","3/2/2026","ZETA","ZETA 2/27/2026 Put $17.00","BTC","1","$0.15","($15.04)"
"2/27/2026","2/27/2026","3/2/2026","SOFI","SOFI 2/27/2026 Put $17.50","BTC","1","$0.02","($2.04)"
"2/27/2026","2/27/2026","3/2/2026","RDW","RDW 2/27/2026 Put $9.00","BTC","1","$0.30","($30.04)"
"2/27/2026","2/27/2026","3/2/2026","SOFI","SOFI 2/27/2026 Put $17.50","STO","1","$0.10","$9.95"
"2/27/2026","2/27/2026","3/2/2026","RDW","RDW 2/27/2026 Put $9.00","STO","1","$0.10","$9.95"
"2/27/2026","2/27/2026","3/2/2026","ZETA","ZETA 2/27/2026 Put $17.00","STO","1","$0.11","$10.95"
"2/27/2026","2/27/2026","3/2/2026","WULF","WULF 2/27/2026 Call $17.50","BTC","1","$0.18","($18.04)"
"2/27/2026","2/27/2026","3/2/2026","RDW","RDW 2/27/2026 Put $10.00","BTC","1","$0.80","($80.04)"
"2/27/2026","2/27/2026","3/2/2026","HOOD","HOOD 2/27/2026 Call $78.00","BTC","1","$0.20","($20.04)"
"2/26/2026","2/26/2026","2/27/2026","PYPL","PayPal
CUSIP: 70450Y103","Sell","100.095879","$45.16","$4,520.81"
"2/26/2026","2/26/2026","2/27/2026","PYPL","PYPL 3/13/2026 Call $47.00","BTC","1","$0.97","($97.04)"
"2/26/2026","2/26/2026","2/27/2026","RDW","Redwire
CUSIP: 75776W103","Buy","100","$9.58","($958.50)"
"2/26/2026","2/26/2026","2/27/2026","RDW","RDW 2/27/2026 Put $10.00","STO","1","$0.60","$59.95"
