"Activity Date","Process Date","Settle Date","Instrument","Description","Trans Code","Quantity","Price","Amount"
"3/26/2026","3/26/2026","3/27/2026","XPEV","XPEV 1/15/2027 Call $40.00","STO","1","$0.53","$52.95"
"3/26/2026","3/26/2026","3/27/2026","XPEV","XPEV 1/15/2027 Call $35.00","BTO","1","$0.75","($75.04)"
"3/26/2026","3/26/2026","3/27/2026","TLT","TLT 7/17/2026 Call $100.00","BTO","2","$0.16","($32.08)"
"3/26/2026","3/26/2026","3/27/2026","BMNR","BMNR 1/21/2028 Call $90.00","STO","1","$2.86","$285.95"
"3/26/2026","3/26/2026","3/27/2026","BMNR","BMNR 1/21/2028 Call $85.00","BTO","1","$3.06","($306.04)"
"3/26/2026","3/26/2026","3/27/2026","BMNR","BMNR 1/21/2028 Call $90.00","STO","1","$2.86","$285.95"
"3/26/2026","3/26/2026","3/27/2026","BMNR","BMNR 1/21/2028 Call $85.00","BTO","1","$3.06","($306.04)"
"3/26/2026","3/26/2026","3/27/2026","BMNR","BMNR 1/15/2027 Call $100.00","STO","1","$0.47","$46.95"
"3/26/2026","3/26/2026","3/27/2026","BMNR","BMNR 1/15/2027 Call $75.00","BTO","1","$0.81","($81.04)"
"3/26/2026","3/26/2026","3/27/2026","WULF","WULF 3/27/2026 Call $17.50","BTC","1","$0.04","($4.04)"
"3/26/2026","3/26/2026","3/27/2026","QXO","QXO 1/21/2028 Call $35.00","STO","2","$3.10","$619.91"
"3/26/2026","3/26/2026","3/27/2026","QXO","QXO 1/21/2028 Call $30.00","BTO","2","$4.30","($860.08)"
"3/26/2026","3/26/2026","3/26/2026","","Event Contracts Inter-Entity Cash Transfer","FUTSWP","","","($21.54)"
"3/25/2026","3/25/2026","3/26/2026","","Mark to market","MTM","","","($3.00)"
"3/25/2026","3/25/2026","3/26/2026","TOI","The Oncology Institute
CUSIP: 68236X100","Buy","10","$3.12","($31.20)"
"3/25/2026","3/25/2026","3/26/2026","GRAB","GRAB 7/17/2026 Call $5.00","STO","1","$0.11","$10.95"
"3/25/2026","3/25/2026","3/26/2026","GRAB","GRAB 7/17/2026 Call $5.00","STO","1","$0.11","$10.95"
"3/25/2026","3/25/2026","3/26/2026","VG","VG 3/27/2026 Call $19.00","BTC","1","$0.10","($10.04)"
