ticker,strategy,entry_date,exit_date,exit_reason,strike,entry_spot,exit_spot,entry_premium,exit_premium,entry_delta,days_held,pnl_usd,assigned
DLO,unmanaged_cc,2025-10-27,2025-12-01,EXPIRED_OTM,17.480000114440912,15.380000114440918,13.0600004196167,0.5290564120170043,0.0,0.3005236188013334,35,52.905641201700426,False
DLO,unmanaged_cc,2025-12-02,2026-01-06,ASSIGNED_OTM_END,14.540000343322749,13.140000343322754,15.140000343322754,0.3793620604254615,0.0,0.302659976911955,35,37.93620604254615,True
BTBT,managed_cc,2025-05-05,2025-06-09,ASSIGNED_RIDE,2.3800000190734867,1.9800000190734863,2.6500000953674316,0.08181737147968549,0.0,0.2879297031604849,35,73.63563433171694,True
BTBT,unmanaged_cc,2025-05-05,2025-06-09,ASSIGNED_OTM_END,2.3800000190734867,1.9800000190734863,2.6500000953674316,0.08181737147968549,0.0,0.2879297031604849,35,73.63563433171694,True
ZETA,managed_cc,2025-06-23,2025-07-28,EXPIRED_OTM,20.10999946594243,16.809999465942383,16.049999237060547,0.745317880954576,0.0,0.29970987239923264,35,223.59536428637279,False
ZETA,managed_cc,2025-07-29,2025-09-02,EXPIRED_OTM,18.879999542236316,15.479999542236328,18.530000686645508,0.7478012864702497,0.0,0.3011545835485147,35,224.3403859410749,False
ZETA,managed_cc,2025-09-03,2025-10-08,EXPIRED_OTM,22.87000045776373,18.770000457763672,19.770000457763672,0.9115164944448342,0.0,0.3023471708255788,35,273.45494833345026,False
ZETA,managed_cc,2025-10-09,2025-11-13,EXPIRED_OTM,22.3700008392334,20.3700008392334,18.510000228881836,0.617638828534,0.0,0.3164380925112841,35,185.2916485602,False
ZETA,managed_cc,2025-11-14,2025-12-19,EXPIRED_OTM,21.840000534057666,18.440000534057617,17.989999771118164,0.7990491123187686,0.0,0.30233424524279556,35,239.7147336956306,False
ZETA,managed_cc,2025-12-22,2026-01-26,ASSIGNED_RIDE,20.719999694824253,18.31999969482422,21.06999969482422,0.6096286320854745,0.0,0.3002974367242557,35,182.88858962564234,True
ZETA,unmanaged_cc,2025-06-23,2025-07-28,EXPIRED_OTM,20.10999946594243,16.809999465942383,16.049999237060547,0.745317880954576,0.0,0.29970987239923264,35,223.59536428637279,False
ZETA,unmanaged_cc,2025-07-29,2025-09-02,EXPIRED_OTM,18.879999542236316,15.479999542236328,18.530000686645508,0.7478012864702497,0.0,0.3011545835485147,35,224.3403859410749,False
ZETA,unmanaged_cc,2025-09-03,2025-10-08,EXPIRED_OTM,22.87000045776373,18.770000457763672,19.770000457763672,0.9115164944448342,0.0,0.3023471708255788,35,273.45494833345026,False
ZETA,unmanaged_cc,2025-10-09,2025-11-13,EXPIRED_OTM,22.3700008392334,20.3700008392334,18.510000228881836,0.617638828534,0.0,0.3164380925112841,35,185.2916485602,False
ZETA,unmanaged_cc,2025-11-14,2025-12-19,EXPIRED_OTM,21.840000534057666,18.440000534057617,17.989999771118164,0.7990491123187686,0.0,0.30233424524279556,35,239.7147336956306,False
